Squeezing [dB],Operators,Bipartition ID,Bipartition 1,Bipartition 2
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",6,"[1, 2, 3]","[4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
4.771212547196625,"('n_x_0', 'n_p_0-n_p_19')",4,"[1, 3]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
7.781512503836437,"('n_x_0', 'n_p_0-n_p_1')",3,[3],"[1, 2, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
4.771212547196625,"('n_x_0', 'n_p_0-n_p_8')",5,"[2, 3]","[1, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
7.781512503836437,"('n_x_0', 'n_p_0-n_p_1')",7,[4],"[1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
7.781512503836437,"('n_x_0', 'n_p_0-n_p_2')",1,[2],"[1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_2')",10,"[1, 2, 4]","[3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_1')",12,"[1, 3, 4]","[2, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
4.771212547196625,"('n_x_0', 'n_p_0+n_p_8')",8,"[1, 4]","[2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.80211241711606,"('n_x_0', 'n_p_0-n_p_1')",13,"[2, 3, 4]","[1, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
3.010299956639812,"('n_x_0', 'n_p_0-n_p_1')",14,"[1, 2, 3, 4]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
4.771212547196625,"('n_x_0', 'n_p_0-n_p_2')",2,"[1, 2]","[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
7.781512503836437,"('n_x_0', 'n_p_0-n_p_2')",0,[1],"[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
